BH 2019.08.12 

  /**
   * factor to multiply scale by to set store sequence width
   */
  private static final int QUERY_STORE_SEQUENCE_SIZE_FACTOR = 10;

  /**
   * interval size for the store; absolute(negative) or maximum(positive);
   */
  private static final int QUERY_STORE_INTERVAL_SIZE = 50;

  /**
   * width of query intervals; negative for absolute, positive for max value
   * 
   */
  private static final int QUERY_WIDTH = -1;
  
[RemoteTestNG] detected TestNG version 6.14.2
Java version: 1.8.0_191
amd64 Windows 10 10.0

Test      	size N	iteration	ms	N/ms	ms stderr	rate stderr
# bulk load IntStoreNCList
IntStoreNCList bulk load	2154	10	2.2	994.0	0.08	31.35
IntStoreNCList bulk load	4641	10	4.9	1065.0	0.71	89.85
IntStoreNCList bulk load	10000	10	7.2	1407.1	0.31	46.76
IntStoreNCList bulk load	21544	10	13.3	1738.2	1.16	146.79
IntStoreNCList bulk load	46415	10	24.7	1961.2	1.68	144.46
IntStoreNCList bulk load	100000	10	39.0	2732.4	3.65	204.18
IntStoreNCList bulk load	215443	10	84.6	2563.1	2.39	70.27
IntStoreNCList bulk load	464158	10	207.6	2252.5	6.15	61.52
# bulk load IntStoreLinked
IntStoreLinked bulk load	2154	10	3.8	576.7	0.17	23.72
IntStoreLinked bulk load	4641	10	2.7	2314.9	0.39	456.58
IntStoreLinked bulk load	10000	10	1.7	5946.5	0.05	154.37
IntStoreLinked bulk load	21544	10	3.9	5600.9	0.18	194.39
IntStoreLinked bulk load	46415	10	9.0	5188.7	0.25	122.12
IntStoreLinked bulk load	100000	10	21.1	4744.2	0.18	38.99
IntStoreLinked bulk load	215443	10	54.2	3997.6	1.39	89.14
IntStoreLinked bulk load	464158	10	132.1	3513.7	0.74	19.04
# bulk load NCList
NCList bulk load	2154	10	0.5	4515.9	0.01	63.86
NCList bulk load	4641	10	1.1	4293.0	0.02	56.51
NCList bulk load	10000	10	2.7	3820.5	0.16	160.69
NCList bulk load	21544	10	6.0	3628.7	0.13	72.72
NCList bulk load	46415	10	13.8	3361.7	0.17	39.10
NCList bulk load	100000	10	33.0	3034.0	0.21	19.09
NCList bulk load	215443	10	85.8	2519.1	1.63	43.69
NCList bulk load	464158	10	208.0	2235.8	3.15	30.36
# bulk load Naive
Naive bulk load	2154	10	0.8	3499.6	0.14	463.79
Naive bulk load	4641	10	1.4	3305.7	0.08	190.21
Naive bulk load	10000	10	3.1	3664.7	0.37	431.30
Naive bulk load	21544	10	4.3	5012.5	0.08	88.97
Naive bulk load	46415	10	10.2	4558.5	0.11	48.68
Naive bulk load	100000	10	24.1	4160.0	0.29	47.86
Naive bulk load	215443	10	62.8	3457.1	1.90	97.14
Naive bulk load	464158	10	148.2	3133.1	0.35	7.40
# incr allowDuplicates:true IntStoreNCList
IntStoreNCList incr load dup	2154	10	1.6	1397.4	0.15	78.96
IntStoreNCList incr load dup	4641	10	2.8	1903.9	0.42	174.51
IntStoreNCList incr load dup	10000	10	5.9	1736.5	0.28	89.17
IntStoreNCList incr load dup	21544	10	16.3	1358.5	0.93	76.34
IntStoreNCList incr load dup	46415	10	54.4	868.3	2.42	37.68
IntStoreNCList incr load dup	100000	10	164.1	612.1	3.99	12.95
IntStoreNCList incr load dup	215443	10	726.1	296.8	4.18	1.64
IntStoreNCList incr load dup	464158	10	3433.7	135.2	19.49	0.76
# incr allowDuplicates:true IntStoreLinked
IntStoreLinked incr load dup	2154	10	1.2	1785.8	0.07	83.56
IntStoreLinked incr load dup	4641	10	1.4	3344.2	0.09	223.99
IntStoreLinked incr load dup	10000	10	3.8	2628.5	0.04	23.97
IntStoreLinked incr load dup	21544	10	14.5	1486.5	0.27	25.62
IntStoreLinked incr load dup	46415	10	59.1	785.4	0.19	2.59
IntStoreLinked incr load dup	100000	10	280.7	356.6	3.01	3.83
IntStoreLinked incr load dup	215443	10	1465.6	147.0	8.10	0.80
# incr allowDuplicates:true NCList
NCList incr load dup	2154	10	1.1	2004.7	0.02	38.27
NCList incr load dup	4641	10	2.7	1701.2	0.07	41.92
NCList incr load dup	10000	10	7.1	1421.3	0.21	41.10
